DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 8956.0
CONFIGURATIONS :
2532.0 2397.0 2869.0 
2546.0 2415.0 2869.0 
2556.0 2431.0 2876.0 
2556.0 2450.0 2890.0 
2575.0 2477.0 2900.0 
2597.0 2503.0 2909.0 
2616.0 2527.0 2918.0 
2632.0 2564.0 2928.0 
2632.0 2587.0 2967.0 
2670.0 2599.0 2967.0 
2694.0 2622.0 2967.0 
2704.0 2630.0 3006.0 
2739.0 2630.0 3006.0 
2764.0 2664.0 3031.0 
2764.0 2674.0 3031.0 
2782.0 2674.0 3056.0 
2795.0 2674.0 3064.0 
2809.0 2674.0 3087.0 
2809.0 2695.0 3109.0 
2851.0 2695.0 3122.0 
2867.0 2695.0 3162.0 
2867.0 2727.0 3179.0 
2912.0 2816.0 3228.0 
;
EXECUTION TIME KUMAR3: 1148.17800212 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / heuristic : 8956.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 32 34 
5 27 36 
41 32 36 
40 32 35 
40 27 34 
40 26 33 
39 27 33 
39 26 32 
23 26 27 
23 38 32 
2 38 27 
2 37 32 
2 43 33 
23 37 33 
23 43 34 
26 37 34 
26 43 35 
27 37 35 
31 38 35 
30 38 34 
29 38 33 
29 39 34 
30 39 35 
29 23 35 
28 2 35 
28 23 36 
29 2 36 
30 2 41 
31 23 41 
31 2 42 
30 23 42 
29 26 42 
28 27 42 
17 32 42 
17 27 41 
17 26 36 
28 26 41 
28 38 40 
29 37 40 
30 43 40 
29 43 41 
31 43 36 
30 37 36 
31 37 18 
27 43 18 
32 25 18 
33 0 18 
34 1 18 
35 1 36 
34 0 36 
34 25 35 
33 25 41 
33 1 42 
32 1 24 
27 1 4 
32 0 4 
27 0 24 
26 0 5 
26 25 24 
23 25 4 
2 25 3 
23 0 3 
26 1 3 
39 1 23 
40 1 2 
39 0 2 
38 0 1 
37 25 1 
43 25 0 
37 28 0 
43 28 1 
19 29 1 
17 30 1 
17 29 0 
17 28 25 
17 19 43 
17 16 37 
19 16 38 
19 6 26 
19 22 27 
19 7 32 
16 7 27 
16 22 32 
16 6 33 
22 6 34 
7 6 35 
7 22 36 
7 10 41 
22 10 42 
7 11 42 
22 11 41 
6 11 36 
6 21 41 
6 8 42 
16 21 42 
16 8 41 
19 8 36 
19 21 35 
19 11 34 
17 11 35 
17 21 34 
17 8 33 
28 21 33 
28 8 32 
29 8 27 
29 21 32 
30 21 27 
30 8 26 
31 21 26 
31 8 39 
31 12 40 
28 12 39 
17 20 39 
17 9 23 
19 9 2 
19 20 23 
16 20 2 
16 12 23 
6 12 2 
6 20 3 
22 9 3 
7 9 24 
22 20 24 
7 20 4 
22 12 4 
10 12 24 
10 20 5 
11 9 5 
21 9 4 
21 8 24 
11 8 4 
11 21 3 
10 8 3 
10 21 23 
10 11 2 
22 21 2 
7 8 2 
22 8 23 
7 21 1 
15 8 1 
15 21 0 
15 11 25 
13 21 25 
13 8 0 
14 8 25 
14 21 43 
14 11 37 
14 10 38 
14 22 26 
14 7 23 
15 7 26 
15 22 38 
13 7 38 
13 22 37 
13 6 43 
15 6 37 
15 16 43 
13 16 28 
14 16 29 
14 6 30 
14 19 31 
15 19 30 
15 17 31 
15 28 29 
22 28 30 
7 28 31 
22 29 31 
7 29 30 
10 31 30 
11 31 27 
11 30 32 
10 27 32 
6 31 32 
16 31 34 
16 30 18 
6 29 18 
22 17 18 
