DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 2
GREEDY sumD : 3970.0
SECONDARY T : 3885.0
CONFIGURATIONS : 
23 21 16 
23 21 16 
23 21 16 
23 3 16 
23 3 16 
23 3 12 
20 3 12 
20 3 12 
20 3 12 
20 21 12 
19 21 12 
19 6 12 
19 6 16 
19 6 16 
19 6 23 
20 6 23 
20 24 23 
20 10 23 
18 10 23 
18 9 23 
18 9 20 
18 9 20 
25 9 20 
25 9 19 
25 27 19 
25 27 20 
13 27 20 
13 2 19 
8 2 19 
22 2 19 
5 2 19 
5 2 14 
5 2 9 
5 2 27 
1 2 27 
1 11 27 
1 11 2 
1 11 6 
0 6 6 
4 6 6 
4 6 21 
4 6 3 
4 10 3 
4 15 3 
5 15 3 
5 10 3 
26 10 3 
26 9 3 
5 9 3 
5 9 7 
4 9 7 
4 10 7 
4 15 7 
27 15 7 
27 24 7 
27 24 12 
9 24 12 
9 24 16 
9 11 16 
9 11 12 
9 11 7 
9 11 21 
24 11 21 
24 11 3 
24 21 3 
24 7 3 
6 7 3 
6 7 21 
2 7 21 
2 12 21 
2 12 7 
2 12 16 
11 23 16 
11 20 16 
11 19 16 
6 19 14 
0 0 0 
;
ROBOT MOVING :
0 0 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 1 
;
TIMETABLE : 
0.0 0.0 0.0 
0.0 14.0 0.0 
0.0 14.0 17.0 
0.0 26.0 17.0 
0.0 26.0 26.0 
0.0 38.0 26.0 
14.0 38.0 26.0 
14.0 38.0 35.0 
14.0 38.0 35.0 
14.0 38.0 46.0 
25.0 38.0 46.0 
25.0 38.0 46.0 
34.0 38.0 46.0 
34.0 38.0 46.0 
46.0 38.0 46.0 
46.0 51.0 46.0 
57.0 51.0 46.0 
57.0 62.0 46.0 
57.0 62.0 58.0 
57.0 62.0 58.0 
57.0 62.0 58.0 
68.0 62.0 58.0 
68.0 73.0 58.0 
68.0 73.0 58.0 
68.0 73.0 76.0 
68.0 73.0 76.0 
68.0 86.0 76.0 
79.0 86.0 76.0 
79.0 86.0 76.0 
88.0 86.0 76.0 
88.0 86.0 76.0 
88.0 99.0 76.0 
100.0 99.0 76.0 
100.0 110.0 76.0 
112.0 110.0 76.0 
112.0 123.0 76.0 
112.0 123.0 91.0 
112.0 123.0 91.0 
124.0 123.0 91.0 
124.0 134.0 91.0 
135.0 134.0 91.0 
144.0 134.0 91.0 
144.0 147.0 91.0 
158.0 147.0 91.0 
158.0 160.0 91.0 
172.0 160.0 91.0 
172.0 172.0 91.0 
172.0 184.0 91.0 
172.0 184.0 106.0 
172.0 184.0 106.0 
172.0 184.0 126.0 
172.0 184.0 126.0 
186.0 184.0 126.0 
186.0 196.0 126.0 
197.0 196.0 126.0 
206.0 196.0 126.0 
206.0 208.0 126.0 
218.0 208.0 126.0 
218.0 221.0 126.0 
230.0 221.0 126.0 
230.0 234.0 126.0 
230.0 245.0 126.0 
230.0 245.0 144.0 
242.0 245.0 144.0 
242.0 245.0 144.0 
253.0 245.0 144.0 
253.0 256.0 144.0 
262.0 256.0 144.0 
262.0 256.0 156.0 
262.0 256.0 156.0 
262.0 267.0 156.0 
262.0 267.0 168.0 
262.0 278.0 168.0 
284.0 278.0 168.0 
284.0 291.0 168.0 
284.0 291.0 180.0 
284.0 291.0 180.0 
284.0 291.0 192.0 
284.0 291.0 192.0 
284.0 291.0 205.0 
284.0 291.0 218.0 
284.0 291.0 218.0 
284.0 291.0 229.0 
284.0 291.0 229.0 
284.0 291.0 242.0 
284.0 291.0 242.0 
284.0 291.0 253.0 
284.0 291.0 253.0 
284.0 291.0 266.0 
284.0 291.0 266.0 
284.0 291.0 278.0 
284.0 291.0 278.0 
284.0 291.0 289.0 
284.0 291.0 289.0 
284.0 291.0 302.0 
284.0 309.0 302.0 
284.0 309.0 314.0 
298.0 309.0 314.0 
298.0 309.0 314.0 
309.0 309.0 314.0 
309.0 309.0 314.0 
309.0 309.0 314.0 
322.0 309.0 314.0 
322.0 309.0 325.0 
333.0 309.0 325.0 
333.0 309.0 334.0 
346.0 309.0 334.0 
346.0 309.0 352.0 
346.0 326.0 352.0 
346.0 326.0 352.0 
359.0 326.0 352.0 
359.0 338.0 352.0 
370.0 338.0 352.0 
370.0 363.0 352.0 
370.0 376.0 352.0 
370.0 376.0 367.0 
370.0 376.0 367.0 
381.0 376.0 367.0 
381.0 376.0 367.0 
381.0 390.0 367.0 
394.0 390.0 367.0 
394.0 390.0 382.0 
394.0 405.0 382.0 
394.0 405.0 400.0 
406.0 405.0 400.0 
406.0 405.0 400.0 
417.0 405.0 400.0 
417.0 420.0 400.0 
417.0 434.0 400.0 
442.0 434.0 400.0 
442.0 447.0 400.0 
442.0 447.0 414.0 
442.0 447.0 414.0 
453.0 447.0 414.0 
453.0 447.0 425.0 
453.0 447.0 425.0 
453.0 447.0 434.0 
453.0 447.0 434.0 
453.0 447.0 446.0 
453.0 447.0 446.0 
453.0 447.0 458.0 
453.0 447.0 458.0 
453.0 460.0 458.0 
464.0 460.0 458.0 
464.0 471.0 458.0 
464.0 471.0 470.0 
464.0 471.0 470.0 
464.0 471.0 481.0 
475.0 471.0 481.0 
475.0 471.0 481.0 
475.0 484.0 481.0 
488.0 484.0 481.0 
488.0 484.0 481.0 
488.0 484.0 490.0 
488.0 495.0 490.0 
488.0 495.0 502.0 
500.0 495.0 502.0 
511.0 495.0 502.0 
511.0 506.0 502.0 
511.0 506.0 514.0 
522.0 506.0 514.0 
522.0 506.0 514.0 
522.0 522.0 514.0 
522.0 522.0 514.0 
522.0 522.0 527.0 
522.0 522.0 527.0 
522.0 545.0 527.0 
522.0 545.0 527.0 
522.0 556.0 527.0 
522.0 556.0 527.0 
557.0 556.0 527.0 
557.0 556.0 538.0 
557.0 556.0 550.0 
557.0 556.0 550.0 
557.0 556.0 550.0 
557.0 567.0 550.0 
557.0 567.0 563.0 
557.0 567.0 563.0 
557.0 567.0 574.0 
570.0 567.0 574.0 
570.0 567.0 574.0 
580.0 567.0 574.0 
580.0 567.0 574.0 
580.0 578.0 574.0 
591.0 578.0 574.0 
591.0 578.0 587.0 
591.0 578.0 587.0 
591.0 578.0 587.0 
602.0 578.0 587.0 
602.0 578.0 587.0 
602.0 591.0 587.0 
602.0 591.0 611.0 
613.0 591.0 611.0 
624.0 591.0 611.0 
624.0 604.0 611.0 
624.0 616.0 611.0 
624.0 616.0 611.0 
624.0 628.0 611.0 
634.0 628.0 611.0 
634.0 628.0 624.0 
634.0 628.0 634.0 
634.0 628.0 634.0 
634.0 628.0 645.0 
634.0 640.0 645.0 
634.0 640.0 645.0 
644.0 640.0 645.0 
644.0 640.0 645.0 
644.0 640.0 645.0 
644.0 652.0 645.0 
644.0 652.0 645.0 
644.0 652.0 656.0 
654.0 652.0 656.0 
654.0 652.0 656.0 
654.0 652.0 656.0 
654.0 664.0 656.0 
667.0 664.0 656.0 
667.0 676.0 656.0 
667.0 676.0 667.0 
667.0 676.0 667.0 
667.0 676.0 678.0 
680.0 676.0 678.0 
680.0 689.0 678.0 
680.0 702.0 678.0 
713.0 702.0 678.0 
713.0 716.0 678.0 
713.0 716.0 688.0 
713.0 716.0 688.0 
726.0 716.0 688.0 
726.0 716.0 701.0 
726.0 731.0 701.0 
726.0 731.0 714.0 
739.0 731.0 714.0 
739.0 750.0 727.0 
752.0 750.0 727.0 
764.0 750.0 727.0 
776.0 750.0 727.0 
776.0 750.0 756.0 
776.0 750.0 772.0 
776.0 750.0 787.0 
794.0 750.0 787.0 
794.0 785.0 787.0 
794.0 785.0 806.0 
794.0 785.0 824.0 
812.0 802.0 824.0 
826.0 802.0 824.0 
826.0 802.0 836.0 
826.0 802.0 848.0 
826.0 828.0 848.0 
826.0 839.0 848.0 
840.0 839.0 848.0 
840.0 850.0 848.0 
849.0 850.0 848.0 
849.0 864.0 848.0 
858.0 864.0 848.0 
858.0 864.0 864.0 
872.0 864.0 864.0 
872.0 878.0 864.0 
872.0 889.0 864.0 
905.0 889.0 864.0 
905.0 913.0 864.0 
905.0 913.0 882.0 
920.0 913.0 882.0 
920.0 913.0 893.0 
920.0 931.0 893.0 
920.0 931.0 904.0 
920.0 931.0 922.0 
920.0 931.0 934.0 
935.0 931.0 934.0 
935.0 931.0 946.0 
935.0 950.0 946.0 
935.0 962.0 946.0 
948.0 962.0 946.0 
948.0 962.0 958.0 
966.0 962.0 958.0 
966.0 980.0 958.0 
966.0 980.0 970.0 
966.0 980.0 997.0 
1001.0 1002.0 997.0 
1001.0 1012.0 997.0 
1001.0 1025.0 997.0 
1018.0 1025.0 1050.0 
1072.0 1108.0 1104.0 
;
EXECUTION TIME: 6.16638708115 seconds 

-------------------------------------------------------------------
DATFILE : bwopen0_4r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
